#ROD_Channel ROC_Channel Straw# HW_addr Board GOL
78 8 791 20 2L1 2
78 9 816 20 2L1 2
78 10 768 20 2L1 2
78 11 790 20 2L1 2
78 12 766 20 2L1 2
78 13 839 20 2L1 2
78 14 -2 20 2L1 2
78 15 814 20 2L1 2
80 0 821 21 2L1 2
80 1 796 21 2L1 2
80 2 844 21 2L1 2
80 3 772 21 2L1 2
80 4 842 21 2L1 2
80 5 794 21 2L1 2
80 6 819 21 2L1 2
80 7 749 21 2L1 2
80 8 771 21 2L1 2
80 9 795 21 2L1 2
80 10 820 21 2L1 2
80 11 843 21 2L1 2
80 12 793 21 2L1 2
80 13 818 21 2L1 2
80 14 770 21 2L1 2
80 15 841 21 2L1 2
82 0 825 22 2L1 2
82 1 800 22 2L1 2
82 2 848 22 2L1 2
82 3 799 22 2L1 2
82 4 775 22 2L1 2
82 5 847 22 2L1 2
82 6 797 22 2L1 2
82 7 823 22 2L1 2
82 8 798 22 2L1 2
82 9 801 22 2L1 2
82 10 824 22 2L1 2
82 11 774 22 2L1 2
82 12 773 22 2L1 2
82 13 845 22 2L1 2
82 14 846 22 2L1 2
82 15 822 22 2L1 2
84 0 728 23 2L1 2
84 1 703 23 2L1 2
84 2 727 23 2L1 2
84 3 751 23 2L1 2
84 4 702 23 2L1 2
84 5 678 23 2L1 2
84 6 704 23 2L1 2
84 7 679 23 2L1 2
84 8 701 23 2L1 2
84 9 748 23 2L1 2
84 10 677 23 2L1 2
84 11 725 23 2L1 2
84 12 726 23 2L1 2
84 13 724 23 2L1 2
84 14 747 23 2L1 2
84 15 750 23 2L1 2
86 0 723 24 2L1 2
86 1 746 24 2L1 2
86 2 700 24 2L1 2
86 3 744 24 2L1 2
86 4 721 24 2L1 2
86 5 676 24 2L1 2
86 6 698 24 2L1 2
86 7 674 24 2L1 2
86 8 675 24 2L1 2
86 9 722 24 2L1 2
86 10 699 24 2L1 2
86 11 745 24 2L1 2
86 12 697 24 2L1 2
86 13 720 24 2L1 2
86 14 673 24 2L1 2
86 15 743 24 2L1 2
88 0 -2 25 2L1 2
88 1 670 25 2L1 2
88 2 -2 25 2L1 2
88 3 -2 25 2L1 2
88 4 -2 25 2L1 2
88 5 -2 25 2L1 2
88 6 695 25 2L1 2
88 7 742 25 2L1 2
88 8 718 25 2L1 2
88 9 694 25 2L1 2
88 10 741 25 2L1 2
88 11 671 25 2L1 2
88 12 719 25 2L1 2
88 13 672 25 2L1 2
88 14 -2 25 2L1 2
88 15 696 25 2L1 2
90 0 717 26 2L2 2
90 1 740 26 2L2 2
90 2 693 26 2L2 2
90 3 716 26 2L2 2
90 4 668 26 2L2 2
90 5 714 26 2L2 2
90 6 691 26 2L2 2
90 7 738 26 2L2 2
90 8 692 26 2L2 2
90 9 739 26 2L2 2
90 10 669 26 2L2 2
90 11 667 26 2L2 2
90 12 715 26 2L2 2
90 13 690 26 2L2 2
90 14 737 26 2L2 2
90 15 713 26 2L2 2
92 0 712 27 2L2 2
92 1 736 27 2L2 2
92 2 734 27 2L2 2
92 3 666 27 2L2 2
92 4 709 27 2L2 2
92 5 689 27 2L2 2
92 6 664 27 2L2 2
92 7 711 27 2L2 2
92 8 687 27 2L2 2
92 9 688 27 2L2 2
92 10 735 27 2L2 2
92 11 665 27 2L2 2
92 12 686 27 2L2 2
92 13 710 27 2L2 2
92 14 663 27 2L2 2
92 15 733 27 2L2 2
94 0 622 28 2L2 2
94 1 644 28 2L2 2
94 2 641 28 2L2 2
94 3 620 28 2L2 2
94 4 621 28 2L2 2
94 5 643 28 2L2 2
94 6 619 28 2L2 2
94 7 577 28 2L2 2
94 8 554 28 2L2 2
94 9 553 28 2L2 2
94 10 642 28 2L2 2
94 11 598 28 2L2 2
94 12 576 28 2L2 2
94 13 599 28 2L2 2
94 14 597 28 2L2 2
94 15 575 28 2L2 2
96 0 648 29 2L2 1
96 1 626 29 2L2 1
96 2 581 29 2L2 1
96 3 646 29 2L2 1
96 4 603 29 2L2 1
96 5 624 29 2L2 1
96 6 579 29 2L2 1
96 7 601 29 2L2 1
96 8 602 29 2L2 1
96 9 625 29 2L2 1
96 10 580 29 2L2 1
96 11 578 29 2L2 1
96 12 647 29 2L2 1
96 13 600 29 2L2 1
96 14 623 29 2L2 1
96 15 645 29 2L2 1
98 0 563 30 2L2 1
98 1 606 30 2L2 1
98 2 627 30 2L2 1
98 3 584 30 2L2 1
98 4 562 30 2L2 1
98 5 583 30 2L2 1
98 6 650 30 2L2 1
98 7 560 30 2L2 1
98 8 561 30 2L2 1
98 9 605 30 2L2 1
98 10 540 30 2L2 1
98 11 582 30 2L2 1
98 12 628 30 2L2 1
98 13 604 30 2L2 1
98 14 559 30 2L2 1
98 15 649 30 2L2 1
100 0 655 31 2L2 1
100 1 610 31 2L2 1
100 2 632 31 2L2 1
100 3 633 31 2L2 1
100 4 631 31 2L2 1
100 5 608 31 2L2 1
100 6 586 31 2L2 1
100 7 609 31 2L2 1
100 8 652 31 2L2 1
100 9 585 31 2L2 1
100 10 630 31 2L2 1
100 11 607 31 2L2 1
100 12 654 31 2L2 1
100 13 653 31 2L2 1
100 14 651 31 2L2 1
100 15 629 31 2L2 1
102 0 517 32 2L2 1
102 1 518 32 2L2 1
102 2 496 32 2L2 1
102 3 473 32 2L2 1
102 4 537 32 2L2 1
102 5 515 32 2L2 1
102 6 493 32 2L2 1
102 7 516 32 2L2 1
102 8 495 32 2L2 1
102 9 472 32 2L2 1
102 10 539 32 2L2 1
102 11 538 32 2L2 1
102 12 471 32 2L2 1
102 13 494 32 2L2 1
102 14 558 32 2L2 1
102 15 536 32 2L2 1
104 0 557 49 2L2 1
104 1 535 49 2L2 1
104 2 533 49 2L2 1
104 3 514 49 2L2 1
104 4 534 49 2L2 1
104 5 470 49 2L2 1
104 6 513 49 2L2 1
104 7 491 49 2L2 1
104 8 511 49 2L2 1
104 9 469 49 2L2 1
104 10 556 49 2L2 1
104 11 492 49 2L2 1
104 12 532 49 2L2 1
104 13 512 49 2L2 1
104 14 555 49 2L2 1
104 15 490 49 2L2 1
106 0 408 50 2L2 1
106 1 388 50 2L2 1
106 2 389 50 2L2 1
106 3 449 50 2L2 1
106 4 448 50 2L2 1
106 5 450 50 2L2 1
106 6 410 50 2L2 1
106 7 430 50 2L2 1
106 8 429 50 2L2 1
106 9 409 50 2L2 1
106 10 428 50 2L2 1
106 11 368 50 2L2 1
106 12 451 50 2L2 1
106 13 452 50 2L2 1
106 14 390 50 2L2 1
106 15 411 50 2L2 1
1 0 872 1 3S1 3
1 1 896 1 3S1 3
1 2 944 1 3S1 3
1 3 920 1 3S1 3
1 4 873 1 3S1 3
1 5 898 1 3S1 3
1 6 851 1 3S1 3
1 7 921 1 3S1 3
1 8 897 1 3S1 3
1 9 922 1 3S1 3
1 10 874 1 3S1 3
1 11 899 1 3S1 3
1 12 849 1 3S1 3
1 13 850 1 3S1 3
1 14 875 1 3S1 3
1 15 852 1 3S1 3
3 0 876 2 3S1 3
3 1 853 2 3S1 3
3 2 900 2 3S1 3
3 3 923 2 3S1 3
3 4 855 2 3S1 3
3 5 925 2 3S1 3
3 6 878 2 3S1 3
3 7 902 2 3S1 3
3 8 901 2 3S1 3
3 9 924 2 3S1 3
3 10 877 2 3S1 3
3 11 926 2 3S1 3
3 12 854 2 3S1 3
3 13 903 2 3S1 3
3 14 879 2 3S1 3
3 15 856 2 3S1 3
5 0 880 3 3S1 3
5 1 857 3 3S1 3
5 2 859 3 3S1 3
5 3 927 3 3S1 3
5 4 882 3 3S1 3
5 5 904 3 3S1 3
5 6 881 3 3S1 3
5 7 929 3 3S1 3
5 8 858 3 3S1 3
5 9 906 3 3S1 3
5 10 883 3 3S1 3
5 11 905 3 3S1 3
5 12 928 3 3S1 3
5 13 930 3 3S1 3
5 14 860 3 3S1 3
5 15 907 3 3S1 3
7 0 931 4 3S1 3
7 1 908 4 3S1 3
7 2 884 4 3S1 3
7 3 933 4 3S1 3
7 4 910 4 3S1 3
7 5 909 4 3S1 3
7 6 861 4 3S1 3
7 7 932 4 3S1 3
7 8 -2 4 3S1 3
7 9 934 4 3S1 3
7 10 886 4 3S1 3
7 11 -2 4 3S1 3
7 12 887 4 3S1 3
7 13 885 4 3S1 3
7 14 863 4 3S1 3
7 15 862 4 3S1 3
9 0 864 5 3S1 3
9 1 888 5 3S1 3
9 2 935 5 3S1 3
9 3 911 5 3S1 3
9 4 890 5 3S1 3
9 5 913 5 3S1 3
9 6 866 5 3S1 3
9 7 961 5 3S1 3
9 8 936 5 3S1 3
9 9 912 5 3S1 3
9 10 865 5 3S1 3
9 11 937 5 3S1 3
9 12 889 5 3S1 3
9 13 914 5 3S1 3
9 14 867 5 3S1 3
9 15 891 5 3S1 3
11 0 892 6 3S1 3
11 1 869 6 3S1 3
11 2 895 6 3S1 3
11 3 938 6 3S1 3
11 4 894 6 3S1 3
11 5 915 6 3S1 3
11 6 868 6 3S1 3
11 7 939 6 3S1 3
11 8 964 6 3S1 3
11 9 916 6 3S1 3
11 10 893 6 3S1 3
11 11 963 6 3S1 3
11 12 940 6 3S1 3
11 13 917 6 3S1 3
11 14 870 6 3S1 3
11 15 871 6 3S1 3
13 0 959 7 3S1 2
13 1 960 7 3S1 2
13 2 1034 7 3S1 2
13 3 1035 7 3S1 2
13 4 985 7 3S1 2
13 5 1011 7 3S1 2
13 6 962 7 3S1 2
13 7 1012 7 3S1 2
13 8 1033 7 3S1 2
13 9 1009 7 3S1 2
13 10 984 7 3S1 2
13 11 1010 7 3S1 2
13 12 1060 7 3S1 2
13 13 1036 7 3S1 2
13 14 986 7 3S1 2
13 15 987 7 3S1 2
15 0 980 8 3S1 2
15 1 956 8 3S1 2
15 2 1030 8 3S1 2
15 3 1005 8 3S1 2
15 4 982 8 3S1 2
15 5 1031 8 3S1 2
15 6 -2 8 3S1 2
15 7 1008 8 3S1 2
15 8 1007 8 3S1 2
15 9 1006 8 3S1 2
15 10 981 8 3S1 2
15 11 1059 8 3S1 2
15 12 957 8 3S1 2
15 13 1032 8 3S1 2
15 14 958 8 3S1 2
15 15 983 8 3S1 2
17 0 952 9 3S1 2
17 1 953 9 3S1 2
17 2 1026 9 3S1 2
17 3 1001 9 3S1 2
17 4 -2 9 3S1 2
17 5 1003 9 3S1 2
17 6 954 9 3S1 2
17 7 1028 9 3S1 2
17 8 1027 9 3S1 2
17 9 1002 9 3S1 2
17 10 977 9 3S1 2
17 11 1004 9 3S1 2
17 12 978 9 3S1 2
17 13 1029 9 3S1 2
17 14 979 9 3S1 2
17 15 955 9 3S1 2
19 0 972 10 3S1 2
19 1 949 10 3S1 2
19 2 1022 10 3S1 2
19 3 997 10 3S1 2
19 4 951 10 3S1 2
19 5 999 10 3S1 2
19 6 950 10 3S1 2
19 7 1024 10 3S1 2
19 8 1023 10 3S1 2
19 9 998 10 3S1 2
19 10 973 10 3S1 2
19 11 1000 10 3S1 2
19 12 974 10 3S1 2
19 13 1025 10 3S1 2
19 14 975 10 3S1 2
19 15 976 10 3S1 2
21 0 968 11 3S1 2
21 1 969 11 3S1 2
