# Roi/ROB map file for the RPC system

type: ATLAS
maxSubsystem:   2
maxLogicSector: 32
maxRoI:         28

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   19   |  24 |    3   | 620025 620030 640005
      0    |   19   |  25 |    3   | 620025 620030 640005

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   20   |   0 |    1   | 620005
      0    |   20   |   1 |    1   | 620005
      0    |   20   |   2 |    2   | 620005 620030
      0    |   20   |   3 |    2   | 620005 620030
      0    |   20   |   4 |    2   | 620005 620030
      0    |   20   |   5 |    2   | 620005 620030
      0    |   20   |   6 |    3   | 620005 620015 620030
      0    |   20   |   7 |    3   | 620005 620015 620030
      0    |   20   |   8 |    3   | 620005 620015 620030
      0    |   20   |   9 |    3   | 620005 620015 620030
      0    |   20   |  10 |    2   | 620015 620030
      0    |   20   |  11 |    2   | 620015 620030
      0    |   20   |  12 |    2   | 620015 620030
      0    |   20   |  13 |    2   | 620015 620030
      0    |   20   |  14 |    3   | 620015 620025 620030
      0    |   20   |  15 |    3   | 620015 620025 620030
      0    |   20   |  16 |    3   | 620015 620025 620030
      0    |   20   |  17 |    3   | 620015 620025 620030
      0    |   20   |  18 |    3   | 620015 620025 620030
      0    |   20   |  19 |    3   | 620015 620025 620030
      0    |   20   |  20 |    2   | 620025 620030
      0    |   20   |  21 |    2   | 620025 620030
      0    |   20   |  22 |    3   | 620025 620030 640005
      0    |   20   |  23 |    3   | 620025 620030 640005
      0    |   20   |  24 |    3   | 620025 620030 640005
      0    |   20   |  25 |    3   | 620025 620030 640005

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   21   |   0 |    2   | 61000d 62000d
      0    |   21   |   1 |    2   | 61000d 62000d
      0    |   21   |   2 |    1   | 62000d
      0    |   21   |   3 |    1   | 62000d
      0    |   21   |   4 |    1   | 62000d
