Calo      Layer     Region     Eta  DATA
    1        1        0      424  0.02485
    1        1        0      425  0.02485
    1        1        0      426  0.02485
    1        1        0      427  0.02485
    1        1        0      428  0.02485
    1        1        0      429  0.02485
    1        1        0      430  0.02485
    1        1        0      431  0.02485
    1        1        0      432  0.02485
    1        1        0      433  0.02485
    1        1        0      434  0.02485
    1        1        0      435  0.02485
    1        1        0      436  0.02485
    1        1        0      437  0.02485
    1        1        0      438  0.02485
    1        1        0      439  0.02485
    1        1        0      440  0.02485
    1        1        0      441  0.02485
    1        1        0      442  0.02485
    1        1        0      443  0.02485
    1        1        0      444  0.02485
    1        1        0      445  0.02485
    1        1        0      446  0.02485
    1        1        0      447  0.02485
    1        1        1        0  0.02484
    1        1        1        1  0.02484
    1        1        1        2  0.02484
    1        2        0        0  0.07464
    1        2        0        1  0.07464
    1        2        0        2  0.07464
    1        2        0        3  0.07464
    1        2        0        4  0.07544
    1        2        0        5  0.07544
    1        2        0        6  0.07544
    1        2        0        7  0.07544
    1        2        0        8  0.07544
    1        2        0        9  0.07544
    1        2        0       10  0.07544
    1        2        0       11  0.07544
    1        2        0       12  0.07544
    1        2        0       13  0.07544
    1        2        0       14  0.07544
    1        2        0       15  0.07544
    1        2        0       16  0.07544
    1        2        0       17  0.07544
    1        2        0       18  0.07544
    1        2        0       19  0.07544
    1        2        0       20  0.07544
    1        2        0       21  0.07544
    1        2        0       22  0.07544
    1        2        0       23  0.07544
    1        2        0       24  0.07544
    1        2        0       25  0.07544
    1        2        0       26  0.07544
    1        2        0       27  0.07544
    1        2        0       28  0.07544
    1        2        0       29  0.07544
    1        2        0       30  0.07544
    1        2        0       31  0.07544
    1        2        0       32  0.15103
    1        2        0       33  0.15103
    1        2        0       34  0.15103
    1        2        0       35  0.15103
    1        2        0       36  0.15084
    1        2        0       37  0.15084
    1        2        0       38  0.15084
    1        2        0       39  0.15084
    1        2        0       40  0.15084
    1        2        0       41  0.15084
    1        2        0       42  0.15084
    1        2        0       43  0.15084
    1        2        0       44  0.15069
    1        2        0       45  0.15069
    1        2        0       46  0.15069
    1        2        0       47  0.15069
    1        2        0       48  0.15069
    1        2        0       49  0.15069
    1        2        0       50  0.15069
    1        2        0       51  0.15069
    1        2        0       52  0.15046
    1        2        0       53  0.15046
    1        2        0       54  0.15046
    1        2        0       55  0.15046
    1        2        1        0  0.02502
    1        3        0        0  0.07464
    1        3        0        1  0.07464
    1        3        0        2  0.07544
    1        3        0        3  0.07544
    1        3        0        4  0.07544
    1        3        0        5  0.07544
    1        3        0        6  0.07544
    1        3        0        7  0.07544
    1        3        0        8  0.07544
    1        3        0        9  0.07544
    1        3        0       10  0.07544
    1        3        0       11  0.07544
    1        3        0       12  0.07544
    1        3        0       13  0.07544
    1        3        0       14  0.07544
    1        3        0       15  0.07544
    1        3        0       16  0.07544
    1        3        0       17  0.07544
    1        3        0       18  0.07534
    1        3        0       19  0.07534
    1        3        0       20  0.07534
    1        3        0       21  0.07534
    1        3        0       22  0.07527
    1        3        0       23  0.07527
    1        3        0       24  0.07527
    1        3        0       25  0.07527
    1        3        0       26  0.07515
