   icalo   isamp   ireg     ieta      ua/DAC   MeV/uA    Atten    uA/DAC     MeV/uA (last two with attenuation corrections)
       2       2       1      31    0.153172   383.96    1.0000  0.153172    383.96
       2       2       1      32    0.153172   378.87    1.0000  0.153172    378.87
       2       2       1      33    0.153172   373.92    1.0000  0.153172    373.92
       2       2       1      34    0.153172   369.09    1.0000  0.153172    369.09
       2       2       1      35    0.153172   389.18    1.0000  0.153172    389.18
       2       2       1      36    0.153172   383.73    1.0000  0.153172    383.73
       2       2       1      37    0.153172   378.44    1.0000  0.153172    378.44
       2       2       1      38    0.153172   373.28    1.0000  0.153172    373.28
       2       2       1      39    0.153172   368.27    1.0000  0.153172    368.27
       2       2       1      40    0.153172   363.39    1.0000  0.153172    363.39
       2       2       1      41    0.153172   358.63    1.0000  0.153172    358.63
       2       2       1      42    0.153172   354.00    1.0000  0.153172    354.00
       2       3       0       0    0.076640   451.42    1.0000  0.076640    451.42
       2       3       0       1    0.076640   439.37    1.0000  0.076640    439.37
       2       3       0       2    0.076640   440.50    1.0000  0.076640    440.50
       2       3       0       3    0.076640   428.42    1.0000  0.076640    428.42
       2       3       0       4    0.076640   416.98    1.0000  0.076640    416.98
       2       3       0       5    0.076640   406.14    1.0000  0.076640    406.14
       2       3       0       6    0.076640   427.40    1.0000  0.076640    427.40
       2       3       0       7    0.076640   415.68    1.0000  0.076640    415.68
       2       3       0       8    0.076640   404.59    1.0000  0.076640    404.59
       2       3       0       9    0.076640   394.07    1.0000  0.076640    394.07
       2       3       0      10    0.076640   407.06    1.0000  0.076640    407.06
       2       3       0      11    0.076640   396.19    1.0000  0.076640    396.19
       2       3       0      12    0.076640   402.91    1.0000  0.076640    402.91
       2       3       0      13    0.076640   391.86    1.0000  0.076640    391.86
       2       3       0      14    0.076640   381.40    1.0000  0.076640    381.40
       2       3       0      15    0.076640   371.49    1.0000  0.076640    371.49
       2       3       0      16    0.076640   386.44    1.0000  0.076640    386.44
       2       3       0      17    0.076640   375.84    1.0000  0.076640    375.84
       2       3       0      18    0.076640   365.81    1.0000  0.076640    365.81
       2       3       0      19    0.076640   356.30    1.0000  0.076640    356.30
       1       0       0       0    0.002409  1162.50    1.0000  0.002409   1182.60
       1       0       0       1    0.002409  1162.50    1.0000  0.002409   1182.60
       1       0       0       2    0.002409  1162.50    1.0000  0.002409   1182.60
       1       0       0       3    0.002409  1162.50    1.0000  0.002409   1182.60
       1       0       0       4    0.002409  1162.50    0.9785  0.002357   1182.60
       1       0       0       5    0.002409  1162.50    0.9785  0.002357   1182.60
       1       0       0       6    0.002409  1162.50    0.9785  0.002357   1182.60
       1       0       0       7    0.002409  1162.50    0.9785  0.002357   1182.60
       1       0       0       8    0.002409  1162.50    0.9785  0.002357   1182.60
       1       0       0       9    0.002409  1162.50    0.9785  0.002357   1182.60
       1       0       0      10    0.002409  1162.50    0.9785  0.002357   1182.60
       1       0       0      11    0.002409  1162.50    0.9785  0.002357   1182.60
       1       0       0      12    0.002409  1162.50    0.9784  0.002357   1182.60
       1       0       0      13    0.002409  1162.50    0.9784  0.002357   1182.60
       1       0       0      14    0.002409  1162.50    0.9784  0.002357   1182.60
       1       0       0      15    0.002409  1162.50    0.9784  0.002357   1182.60
       1       0       0      16    0.002409  1162.50    0.9784  0.002357   1182.60
       1       0       0      17    0.002409  1162.50    0.9784  0.002357   1182.60
       1       0       0      18    0.002409  1162.50    0.9784  0.002357   1182.60
       1       0       0      19    0.002409  1162.50    0.9784  0.002357   1182.60
       1       0       0      20    0.002409  1162.50    0.9781  0.002356   1182.60
       1       0       0      21    0.002409  1162.50    0.9781  0.002356   1182.60
       1       0       0      22    0.002409  1162.50    0.9781  0.002356   1182.60
       1       0       0      23    0.002409  1162.50    0.9781  0.002356   1182.60
       1       0       0      24    0.002409  1162.50    0.9781  0.002356   1182.60
       1       0       0      25    0.002409  1162.50    0.9781  0.002356   1182.60
       1       0       0      26    0.002409  1162.50    0.9781  0.002356   1182.60
       1       0       0      27    0.002409  1162.50    0.9781  0.002356   1182.60
       1       0       0      28    0.002409  1162.50    0.9778  0.002355   1182.60
       1       0       0      29    0.002409  1162.50    0.9778  0.002355   1182.60
       1       0       0      30    0.002409  1162.50    0.9778  0.002355   1182.60
       1       0       0      31    0.002409  1162.50    0.9778  0.002355   1182.60
       1       0       0      32    0.002409  1162.50    0.9778  0.002355   1182.60
       1       0       0      33    0.002409  1162.50    0.9778  0.002355   1182.60
       1       0       0      34    0.002409  1162.50    0.9778  0.002355   1182.60
       1       0       0      35    0.002409  1162.50    0.9778  0.002355   1182.60
       1       0       0      36    0.002409  1162.50    0.9773  0.002354   1182.60
       1       0       0      37    0.002409  1162.50    0.9773  0.002354   1182.60
       1       0       0      38    0.002409  1162.50    0.9773  0.002354   1182.60
       1       0       0      39    0.002409  1162.50    0.9773  0.002354   1182.60
       1       0       0      40    0.002409  1162.50    0.9773  0.002354   1182.60
       1       0       0      41    0.002409  1162.50    0.9773  0.002354   1182.60
       1       0       0      42    0.002409  1162.50    0.9773  0.002354   1182.60
       1       0       0      43    0.002409  1162.50    0.9773  0.002354   1182.60
       1       0       0      44    0.002409  1162.50    0.9765  0.002352   1182.60
       1       0       0      45    0.002409  1162.50    0.9765  0.002352   1182.60
       1       0       0      46    0.002409  1162.50    0.9765  0.002352   1182.60
       1       0       0      47    0.002409  1162.50    0.9765  0.002352   1182.60
       1       0       0      48    0.002409  1162.50    0.9765  0.002352   1182.60
       1       0       0      49    0.002409  1162.50    0.9765  0.002352   1182.60
       1       0       0      50    0.002409  1162.50    0.9765  0.002352   1182.60
       1       0       0      51    0.002409  1162.50    0.9765  0.002352   1182.60
       1       0       0      52    0.002409  1162.50    0.9755  0.002350   1182.60
       1       0       0      53    0.002409  1162.50    0.9755  0.002350   1182.60
       1       0       0      54    0.002409  1162.50    0.9755  0.002350   1182.60
       1       0       0      55    0.002409  1162.50    0.9755  0.002350   1182.60
       1       0       0      56    0.003813  1162.50    0.9755  0.003720   1182.60
       1       0       0      57    0.003813  1162.50    0.9755  0.003720   1182.60
       1       0       0      58    0.003813  1162.50    0.9755  0.003720   1182.60
       1       0       0      59    0.003813  1162.50    0.9755  0.003720   1182.60
       1       0       0      60    0.003813  1162.50    0.9738  0.003713   1182.60
       1       1       0       0    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0       1    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0       2    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0       3    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0       4    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0       5    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0       6    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0       7    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0       8    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0       9    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      10    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      11    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      12    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      13    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      14    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      15    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      16    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      17    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      18    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      19    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      20    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      21    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      22    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      23    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      24    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      25    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      26    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      27    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      28    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      29    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      30    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      31    0.025506   357.70    0.9738  0.024837    363.89
       1       1       0      32    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      33    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      34    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      35    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      36    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      37    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      38    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      39    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      40    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      41    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      42    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      43    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      44    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      45    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      46    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      47    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      48    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      49    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      50    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      51    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      52    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      53    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      54    0.025506   357.70    0.9781  0.024947    363.89
       1       1       0      55    0.025506   357.70    0.9781  0.024947    363.89
