Towers  0 - 15 eta 1 side A ID 61  # MDT barrel A-side (Sub-detector ID = 0x61)
{
#------------------------------------------------------------------------------
#ModID||                   MDT chambers / CSM links                      |MROD
#tower||    1   |   2   |   3   |   4   |   5   |   6   |   7   |   8    |crate
#------------------------------------------------------------------------------

#   "eta 1"  -  Large chambers in sectors 1,3,5,7,9,11,13,15

   13 || EIL23A07    -    EML3A07 EOL4A07 EOL5A07 EOL6A07    -       -    |  10
   14 || EIL23A09    -    EML3A09 EOL4A09 EOL5A09 EOL6A09    -       -    |  11
   15 || EIL23A11    -    EML3A11 EOL4A11 EOL5A11 EOL6A11    -       -    |  11
   16 || EIL23A13    -    EML3A13 EOL4A13 EOL5A13 EOL6A13    -       -    |  12
   17 || EIL23A15    -    EML3A15 EOL4A15 EOL5A15 EOL6A15    -       -    |  12

#   "eta 5"  -  Small chambers in sectors 2,4,6,8,10,12,14,16

   18 || EIS1A02 EIS2A02 EMS3A02 EOS4A02 EOS5A02 EOS6A02    -       -    |  9
   19 || EIS1A04 EIS2A04 EMS3A04 EOS4A04 EOS5A04 EOS6A04    -       -    |  9
   1A || EIS1A06 EIS2A06 EMS3A06 EOS4A06 EOS5A06 EOS6A06    -       -    |  10
   1B || EIS1A08 EIS2A08 EMS3A08 EOS4A08 EOS5A08 EOS6A08    -       -    |  10
   1C || EIS1A10 EIS2A10 EMS3A10 EOS4A10 EOS5A10 EOS6A10    -       -    |  11
   1D || EIS1A12 EIS2A12 EMS3A12 EOS4A12 EOS5A12 EOS6A12    -       -    |  11
   1E || EIS1A14 EIS2A14 EMS3A14 EOS4A14 EOS5A14 EOS6A14    -       -    |  12
   1F || EIS1A16 EIS2A16 EMS3A16 EOS4A16 EOS5A16 EOS6A16    -       -    |  12

}

Towers 32 - 47 eta 6 side A ID 63  # MDT EndCap A-side (Sub-detector ID = 0x63)
{
#------------------------------------------------------------------------------
#ModID||                   MDT chambers / CSM links                      |MROD
#tower||    1   |   2   |   3   |   4   |   5   |   6   |   7   |   8    |crate
#------------------------------------------------------------------------------

#   "eta 6"  -  Large chambers in sectors 1,3,5,7,9,11,13,15

   20 ||    -    EML1A01 EML2A01 EOL1A01 EOL2A01 EOL3A01    -       -    |  9
   21 ||    -    EML1A03 EML2A03 EOL1A03 EOL2A03 EOL3A03    -       -    |  9
   22 ||    -    EML1A05 EML2A05 EOL1A05 EOL2A05 EOL3A05    -       -    |  10
   23 ||    -    EML1A07 EML2A07 EOL1A07 EOL2A07 EOL3A07    -       -    |  10
   24 ||    -    EML1A09 EML2A09 EOL1A09 EOL2A09 EOL3A09    -       -    |  11
   25 ||    -    EML1A11 EML2A11 EOL1A11 EOL2A11 EOL3A11    -       -    |  11
   26 ||    -    EML1A13 EML2A13 EOL1A13 EOL2A13 EOL3A13    -       -    |  12
   27 ||    -    EML1A15 EML2A15 EOL1A15 EOL2A15 EOL3A15    -       -    |  12

#   "eta 6"  -  Small chambers in sectors 2,4,6,8,10,12,14,16

   28 ||    -    EMS1A02 EMS2A02 EOS1A02 EOS2A02 EOS3A02    -       -    |  9
   29 ||    -    EMS1A04 EMS2A04 EOS1A04 EOS2A04 EOS3A04    -       -    |  9
   2A ||    -    EMS1A06 EMS2A06 EOS1A06 EOS2A06 EOS3A06    -       -    |  10
   2B ||    -    EMS1A08 EMS2A08 EOS1A08 EOS2A08 EOS3A08    -       -    |  10
   2C ||    -    EMS1A10 EMS2A10 EOS1A10 EOS2A10 EOS3A10    -       -    |  11
   2D ||    -    EMS1A12 EMS2A12 EOS1A12 EOS2A12 EOS3A12    -       -    |  11
   2E ||    -    EMS1A14 EMS2A14 EOS1A14 EOS2A14 EOS3A14    -       -    |  12
   2F ||    -    EMS1A16 EMS2A16 EOS1A16 EOS2A16 EOS3A16    -       -    |  12


#   extra towers   
   30 || BEE12A02 BEE12A04 EIL1A01 EIL1A03    -       -	    -       -    |  9
   31 || BEE12A06 BEE12A08 EIL1A05 EIL1A07    -       -     -       -    |  10
   32 || BEE12A10 BEE12A12 EIL1A09 EIL1A11    -       -     -       -    |  11
   33 || BEE12A14 BEE12A16 EIL1A13 EIL1A15    -       -     -       -    |  12
}

Towers  0 - 15 eta 4 side C ID 64  # MDT EndCap C-side (Sub-detector ID = 0x64)
{
#------------------------------------------------------------------------------
#ModID||                   MDT chambers / CSM links                      |MROD
#tower||    1   |   2   |   3   |   4   |   5   |   6   |   7   |   8    |crate
#------------------------------------------------------------------------------

#   "eta 4"  -  Large chambers in sectors 1,3,5,7,9,11,13,15

   00 || EILM4C01 EEL1C01 EEL2C01 EML4C01 EML5C01    -       -       -    |  13
   01 || EIL4C03  EEL1C03 EEL2C03 EML4C03 EML5C03    -       -       -    |  13
   02 || EIL4C05     -    EEL2C05 EML4C05 EML5C05    -       -       -    |  14
   03 || EIL4C07  EEL1C07 EEL2C07 EML4C07 EML5C07    -       -       -    |  14
   04 || EILM4C09 EEL1C09 EEL2C09 EML4C09 EML5C09    -       -       -    |  15
   05 || EIL4C11  EEL1C11 EEL2C11 EML4C11 EML5C11    -       -       -    |  15
   06 || EIL4C13  EEL1C13 EEL2C13 EML4C13 EML5C13    -       -       -    |  16
   07 || EIL4C15  EEL1C15 EEL2C15 EML4C15 EML5C15    -       -       -    |  16

#   "eta 4"  -  Small chambers in sectors 2,4,6,8,10,12,14,16

   08 || BIS78C02 EES1C02 EES2C02 EMS4C02 EMS5C02    -       -       -    |  13
   09 || BIS78C04 EES1C04 EES2C04 EMS4C04 EMS5C04    -       -       -    |  13
   0A || BIS78C06 EES1C06 EES2C06 EMS4C06 EMS5C06    -       -       -    |  14
   0B || BIS78C08 EES1C08 EES2C08 EMS4C08 EMS5C08    -       -       -    |  14
   0C || BIS78C10 EES1C10 EES2C10 EMS4C10 EMS5C10    -       -       -    |  15
   0D || BIS78C12 EES1C12 EES2C12 EMS4C12 EMS5C12    -       -       -    |  15
   0E || BIS78C14 EES1C14 EES2C14 EMS4C14 EMS5C14    -       -       -    |  16
   0F || BIS78C16 EES1C16 EES2C16 EMS4C16 EMS5C16    -       -       -    |  16

}

Towers 16 - 31 eta 5 side C ID 64  # MDT EndCap C-side (Sub-detector ID = 0x64)
{
#------------------------------------------------------------------------------
#ModID||                   MDT chambers / CSM links                      |MROD
#tower||    1   |   2   |   3   |   4   |   5   |   6   |   7   |   8    |crate
#------------------------------------------------------------------------------

#   "eta 5"  -  Large chambers in sectors 1,3,5,7,9,11,13,15

   10 || EIL23C01    -    EML3C01 EOL4C01 EOL5C01 EOL6C01    -       -    |  13
   11 || EIL23C03    -    EML3C03 EOL4C03 EOL5C03 EOL6C03    -       -    |  13
   12 || EIL23C05    -    EML3C05 EOL4C05 EOL5C05 EOL6C05    -       -    |  14
   13 || EIL23C07    -    EML3C07 EOL4C07 EOL5C07 EOL6C07    -       -    |  14
   14 || EIL23C09    -    EML3C09 EOL4C09 EOL5C09 EOL6C09    -       -    |  15
   15 || EIL23C11    -    EML3C11 EOL4C11 EOL5C11 EOL6C11    -       -    |  15
   16 || EIL23C13    -    EML3C13 EOL4C13 EOL5C13 EOL6C13    -       -    |  16
   17 || EIL23C15    -    EML3C15 EOL4C15 EOL5C15 EOL6C15    -       -    |  16

#   "eta 5"  -  Small chambers in sectors 2,4,6,8,10,12,14,16

   18 || EIS1C02 EIS2C02 EMS3C02 EOS4C02 EOS5C02 EOS6C02    -       -    |  13
   19 || EIS1C04 EIS2C04 EMS3C04 EOS4C04 EOS5C04 EOS6C04    -       -    |  13
   1A || EIS1C06 EIS2C06 EMS3C06 EOS4C06 EOS5C06 EOS6C06    -       -    |  14
   1B || EIS1C08 EIS2C08 EMS3C08 EOS4C08 EOS5C08 EOS6C08    -       -    |  14
   1C || EIS1C10 EIS2C10 EMS3C10 EOS4C10 EOS5C10 EOS6C10    -       -    |  15
   1D || EIS1C12 EIS2C12 EMS3C12 EOS4C12 EOS5C12 EOS6C12    -       -    |  15
   1E || EIS1C14 EIS2C14 EMS3C14 EOS4C14 EOS5C14 EOS6C14    -       -    |  16
   1F || EIS1C16 EIS2C16 EMS3C16 EOS4C16 EOS5C16 EOS6C16    -       -    |  16

}

Towers 32 - 47 eta 6 side C ID 64  # MDT EndCap C-side (Sub-detector ID = 0x64)
{
#------------------------------------------------------------------------------
#ModID||                   MDT chambers / CSM links                      |MROD
#tower||    1   |   2   |   3   |   4   |   5   |   6   |   7   |   8    |crate
#------------------------------------------------------------------------------

#   "eta 6"  -  Large chambers in sectors 1,3,5,7,9,11,13,15

   20 ||    -    EML1C01 EML2C01 EOL1C01 EOL2C01 EOL3C01    -       -    |  13
   21 ||    -    EML1C03 EML2C03 EOL1C03 EOL2C03 EOL3C03    -       -    |  13
   22 ||    -    EML1C05 EML2C05 EOL1C05 EOL2C05 EOL3C05    -       -    |  14
   23 ||    -    EML1C07 EML2C07 EOL1C07 EOL2C07 EOL3C07    -       -    |  14
   24 ||    -    EML1C09 EML2C09 EOL1C09 EOL2C09 EOL3C09    -       -    |  15
   25 ||    -    EML1C11 EML2C11 EOL1C11 EOL2C11 EOL3C11    -       -    |  15
   26 ||    -    EML1C13 EML2C13 EOL1C13 EOL2C13 EOL3C13    -       -    |  16
   27 ||    -    EML1C15 EML2C15 EOL1C15 EOL2C15 EOL3C15    -       -    |  16

#   "eta 6"  -  Small chambers in sectors 2,4,6,8,10,12,14,16

   28 ||    -    EMS1C02 EMS2C02 EOS1C02 EOS2C02 EOS3C02    -       -    |  13
   29 ||    -    EMS1C04 EMS2C04 EOS1C04 EOS2C04 EOS3C04    -       -    |  13
   2A ||    -    EMS1C06 EMS2C06 EOS1C06 EOS2C06 EOS3C06    -       -    |  14
   2B ||    -    EMS1C08 EMS2C08 EOS1C08 EOS2C08 EOS3C08    -       -    |  14
   2C ||    -    EMS1C10 EMS2C10 EOS1C10 EOS2C10 EOS3C10    -       -    |  15
   2D ||    -    EMS1C12 EMS2C12 EOS1C12 EOS2C12 EOS3C12    -       -    |  15
   2E ||    -    EMS1C14 EMS2C14 EOS1C14 EOS2C14 EOS3C14    -       -    |  16
   2F ||    -    EMS1C16 EMS2C16 EOS1C16 EOS2C16 EOS3C16    -       -    |  16

#   extra towers   
   30 || BEE12C02 BEE12C04 EIL1C01 EIL1C03    -       -	    -       -    |  13
   31 || BEE12C06 BEE12C08 EIL1C05 EIL1C07    -       -     -       -    |  14
   32 || BEE12C10 BEE12C12 EIL1C09 EIL1C11    -       -     -       -    |  15
   33 || BEE12C14 BEE12C16 EIL1C13 EIL1C15    -       -     -       -    |  16
   

}
