# $Id: connectivity_table_C34_ISP_v22.dat,v 1.1 2007-05-10 19:13:25 jarguin Exp $					
# Source Name	Source Type	Source Slot	Destination Name	Destination Type	Destination Slot
PP2_S21_Board2	LV-PP2	RegBoard-2	R1_OPS2	LV-PP1	UP
PP2_S21_Board5	LV-PP2	RegBoard-5	R2_OPS3	LV-PP1	UP
PP2_S22_Board2	LV-PP2	RegBoard-2	L1_OPS2	LV-PP1	UP
PP2_S21_Board0	LV-PP2	RegBoard-0	R1_OPS1	LV-PP1	UP
PP2_S21_Board1	LV-PP2	RegBoard-1	R2_OPS1	LV-PP1	UP
PP2_S22_Board5	LV-PP2	RegBoard-5	L2_OPS3	LV-PP1	UP
PP2_S22_Board4	LV-PP2	RegBoard-4	L1_OPS3	LV-PP1	UP
PP2_S22_Board0	LV-PP2	RegBoard-0	L1_OPS1	LV-PP1	UP
PP2_S21_Board4	LV-PP2	RegBoard-4	R1_OPS3	LV-PP1	UP
PP2_S21_Board3	LV-PP2	RegBoard-3	R2_OPS2	LV-PP1	UP
PP2_S22_Board1	LV-PP2	RegBoard-1	L2_OPS1	LV-PP1	UP
PP2_S22_Board3	LV-PP2	RegBoard-3	L2_OPS2	LV-PP1	UP
					
					
R1_OPS1	LV-PP1	SLOT-9	L1_B08_S1_C7	PP0	LV-PP0-B9
R2_OPS1	LV-PP1	SLOT-13	L1_B07_S2_C6	PP0	LV-PP0-B13
R1_OPS2	LV-PP1	SLOT-1	L1_B07_S1_C7	PP0	LV-PP0-B1
R2_OPS2	LV-PP1	SLOT-19	D2C_B02_S2	PP0	LV-PP0-B19
R1_OPS3	LV-PP1	SLOT-17	L1_B06_S1_C7	PP0	LV-PP0-B17
R2_OPS3	LV-PP1	SLOT-4	L1_B06_S2_C6	PP0	LV-PP0-B4
L1_OPS1	LV-PP1	SLOT-16	L1_B08_S2_C6	PP0	LV-PP0-B16
L2_OPS1	LV-PP1	SLOT-21	SparePP0	PP0	LV-PP0-B21
L1_OPS2	LV-PP1	SLOT-8	D2C_B03_S1	PP0	LV-PP0-B8
L2_OPS2	LV-PP1	SLOT-22	L1_B09_S1_C7	PP0	LV-PP0-B22
L1_OPS3	LV-PP1	SLOT-15	L1_B09_S2_C6	PP0	LV-PP0-B15
L2_OPS3	LV-PP1	SLOT-14	L1_B10_S1_C7	PP0	LV-PP0-B14
					
					
					
Y1006S1_SC01A.SCOLink2	SCO-LINK	SCO-LINK	PP2_S21_Board2	LV-PP2	SCOL-LV-PP2-B1
Y1006S1_SC01B.SCOLink1	SCO-LINK	SCO-LINK	PP2_S21_Board5	LV-PP2	SCOL-LV-PP2-B4
Y1006S1_SC01D.SCOLink2	SCO-LINK	SCO-LINK	PP2_S22_Board2	LV-PP2	SCOL-LV-PP2-B8
Y1006S1_SC01A.SCOLink0	SCO-LINK	SCO-LINK	PP2_S21_Board0	LV-PP2	SCOL-LV-PP2-B9
Y1006S1_SC01A.SCOLink1	SCO-LINK	SCO-LINK	PP2_S21_Board1	LV-PP2	SCOL-LV-PP2-B13
Y1006S1_SC02A.SCOLink1	SCO-LINK	SCO-LINK	PP2_S22_Board5	LV-PP2	SCOL-LV-PP2-B14
Y1006S1_SC02A.SCOLink0	SCO-LINK	SCO-LINK	PP2_S22_Board4	LV-PP2	SCOL-LV-PP2-B15
Y1006S1_SC01D.SCOLink0	SCO-LINK	SCO-LINK	PP2_S22_Board0	LV-PP2	SCOL-LV-PP2-B16
Y1006S1_SC01B.SCOLink0	SCO-LINK	SCO-LINK	PP2_S21_Board4	LV-PP2	SCOL-LV-PP2-B17
Y1006S1_SC01A.SCOLink3	SCO-LINK	SCO-LINK	PP2_S21_Board3	LV-PP2	SCOL-LV-PP2-B19
Y1006S1_SC01D.SCOLink1	SCO-LINK	SCO-LINK	PP2_S22_Board1	LV-PP2	SCOL-LV-PP2-B21
Y1006S1_SC01D.SCOLink3	SCO-LINK	SCO-LINK	PP2_S22_Board3	LV-PP2	SCOL-LV-PP2-B22
					
					
Y1206S1	HV-PS-RACK	SLOT-0	Y1206S1_HV01	HV-PS-CRATE	UP
Y1206S1	HV-PS-RACK	SLOT-1	Y1206S1_HV02	HV-PS-CRATE	UP
					
					
Y1206S1_HV01	HV-PS-CRATE	SLOT-0	Y1206S1_HV01_2A.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-1	Y1206S1_HV01_3A.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-2	Y1206S1_HV01_4A.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-3	Y1206S1_HV01_5A.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-4	Y1206S1_HV01_6A.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-5	Y1206S1_HV01_7A.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-6	Y1206S1_HV01_8A.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-7	Y1206S1_HV01_1A.Ch0-5	HV-PS	UP
Y1206S1_HV02	HV-PS-CRATE	SLOT-8	Y1206S1_HV02_2A.Ch0-5	HV-PS	UP
Y1206S1_HV02	HV-PS-CRATE	SLOT-9	Y1206S1_HV02_3A.Ch0-5	HV-PS	UP
Y1206S1_HV02	HV-PS-CRATE	SLOT-10	Y1206S1_HV02_4A.Ch0-5	HV-PS	UP
Y1206S1_HV02	HV-PS-CRATE	SLOT-11	Y1206S1_HV02_1A.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-12	Y1206S1_HV01_2B.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-13	Y1206S1_HV01_3B.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-14	Y1206S1_HV01_4B.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-15	Y1206S1_HV01_5B.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-16	Y1206S1_HV01_6B.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-17	Y1206S1_HV01_7B.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-18	Y1206S1_HV01_8B.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-19	Y1206S1_HV01_1B.Ch0-5	HV-PS	UP
Y1206S1_HV02	HV-PS-CRATE	SLOT-20	Y1206S1_HV02_2B.Ch0-5	HV-PS	UP
